,v,a,vsp,CO2
109,2.055555556,0.011111111,0.248919412,0.209
110,2.066666667,0.211111111,0.661750968,0.2844
111,2.083333333,0.033333333,0.298734478,0.3502
112,2.1,-0.438888889,-0.693094333,0.358
113,2.111111111,0.044444444,0.326334127,0.3596
114,2.138888889,-0.272222222,-0.342771948,0.4072
115,2.172222222,0.272222222,0.828153947,0.3868
116,2.194444444,0.144444444,0.55915517,0.3744
117,2.211111111,-0.522222222,-0.915035448,0.366
118,2.238888889,-0.233333333,-0.278655723,0.4032
119,2.25,-0.533333333,-0.951231614,1.2516
120,2.266666667,0.333333333,1.007839903,2.0098
121,2.277777778,0.105555556,0.492354379,0.4894
122,2.283333333,-0.111111111,-0.002948359,0.3196
123,2.305555556,-0.105555556,0.01184769,1.375
124,2.338888889,0.266666667,0.880520212,2.4874
125,2.361111111,0.166666667,0.655218106,1.0204
126,2.366666667,-0.311111111,-0.483864846,1.4896
127,2.388888889,-0.044444444,0.158834493,1.1166
128,2.411111111,0.138888889,0.607415774,1.9178
129,2.422222222,-0.027777778,0.207984323,1.3066
130,2.444444444,1.033333333,2.797320557,1.2532
131,2.45,0.211111111,0.784689055,1.2366
132,2.472222222,-0.194444444,-0.205820539,2.0452
133,2.494444444,-0.127777778,-0.041465235,2.5982
134,2.516666667,-0.372222222,-0.665170357,1.6604
135,2.533333333,-0.277777778,-0.424005852,1.1314
136,2.572222222,0.305555556,1.072813745,0.54
137,2.583333333,-0.205555556,-0.242900716,2.4714
138,2.594444444,0.011111111,0.316877711,3.068
139,2.611111111,0.172222222,0.741064188,1.9172
140,2.633333333,0.155555556,0.70360541,2.8354
141,2.638888889,0.016666667,0.338709202,0.4038
142,2.666666667,0.094444444,0.549899132,1.241
143,2.672222222,0.105555556,0.578960237,0.9262
144,2.694444444,0.016666667,0.346308498,1.019
145,2.694444444,0.333333333,1.199491544,0.239
146,2.705555556,-0.238888889,-0.351997124,0.243
147,2.727777778,-0.038888889,0.192465334,0.2746
148,2.75,-0.133333333,-0.058539336,0.8026
149,2.777777778,-0.027777778,0.23430594,1.783
150,2.783333333,0.055555556,0.468142196,1.5646
151,2.805555556,-0.438888889,-0.916417632,1.6244
152,2.816666667,-0.027777778,0.237167852,0.2776
153,2.844444444,-0.161111111,-0.138444814,0.3412
154,2.861111111,-0.394444444,-0.806897411,0.6048
155,2.883333333,-0.211111111,-0.291107281,0.3752
156,2.894444444,0.072222222,0.536426499,0.3708
157,2.916666667,0.216666667,0.960252775,0.3608
158,2.927777778,0.538888889,1.914325151,0.352
159,2.944444444,-0.038888889,0.21725019,0.3358
160,2.944444444,-0.066666667,0.135465597,0.336
161,2.944444444,0.327777778,1.296806817,0.3484
162,2.966666667,0.222222222,0.993686653,0.3574
163,2.994444444,0.194444444,0.915157276,0.3486
